"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Nederland",20.5,23.2,12.2
"Gemeente: Amsterdam",31.7,33,25
NA,NA,NA,NA
"AMC",54.8,53.9,NA
"Aalsmeerwegbuurt Oost",25.3,25.6,23.1
"Aalsmeerwegbuurt West",24.9,24.8,25.4
"Afrikahaven",NA,NA,NA
"Alexanderplein e.o.",21.1,22.5,10.3
"Alfa-driehoek",NA,NA,NA
"Amerikahaven",NA,NA,NA
"Amstel III deel A/B Noord",35.8,35.7,NA
"Amstel III deel A/B Zuid",40.3,40.3,NA
"Amstel III deel C/D Noord",30.9,32.6,NA
"Amstel III deel C/D Zuid",NA,NA,NA
"Amstelglorie",13.1,14.7,7
"Amstelkwartier Noord",24.6,25.1,12.9
"Amstelkwartier West",34,34.6,10.4
"Amstelkwartier Zuid",26.2,29.9,NA
"Amstelpark",24.4,NA,NA
"Amstelveldbuurt",19.2,21.9,7.9
"Amsterdamse Bos",17.8,21.4,9.8
"Amsterdamse Poort",51.3,51.1,52
"Andreasterrein",27.8,27.9,27.2
"Anjeliersbuurt Noord",25.1,27,17.8
"Anjeliersbuurt Zuid",27.2,29.1,20.7
"Architectenbuurt",27,28.6,20.9
"BG-terrein e.o.",30.2,31.7,20.7
"Baanakkerspark Noord",23.3,27.8,10.4
"Baanakkerspark Zuid",20,26.8,7.8
"Balboaplein e.o.",36.6,36.1,41
"Banne Noordoost",39,42.5,25.8
"Banne Noordwest",43.3,45.8,31.5
"Banne Zuidoost",31.8,33.9,23.9
"Banne Zuidwest",40.1,43.1,27.8
"Banpleinbuurt",12.6,16.4,4.6
"Beatrixpark",NA,NA,NA
"Bedrijvencentrum Osdorp",NA,NA,NA
"Bedrijvencentrum Westerkwartier",22.9,24.7,NA
"Bedrijvengebied Cruquiusweg",21.4,22,6.2
"Bedrijvengebied Veelaan",16.7,17.7,14.8
"Bedrijvengebied Zeeburgerkade",25.9,28.4,11.3
"Bedrijvenpark Lutkemeer",18.3,19.2,NA
"Bedrijventerrein Hamerstraat",32.2,33,14.2
"Bedrijventerrein Landlust",25.6,25.6,26.7
"Bedrijventerrein Nieuwendammerdijk",17.7,20,NA
"Bedrijventerrein Schinkel",27.6,28.9,8.4
"Bedrijventerrein Sloterdijk I",38.4,37.8,NA
"Beethovenbuurt",15.9,17.9,9.1
"Begijnhofbuurt",29.8,31.5,21.5
"BelgiÃ«plein e.o.",26.4,28,23.3
"Bellamybuurt Noord",29.9,30.2,27.8
"Bellamybuurt Zuid",29.3,29.3,29.5
"Bertelmanpleinbuurt",37.7,38.3,36
"Betondorp",34.4,36.9,27.8
"Bijlmermuseum Noord",52,53.6,47.8
"Bijlmermuseum Zuid",46.2,46.6,43.1
"Blauwe Zand",35.5,38.4,26.6
"Bloemenbuurt Noord",34.7,35.5,31.7
"Bloemenbuurt Zuid",42,44.3,33.2
"Bloemgrachtbuurt",25.2,26.5,19.5
"Borgerbuurt",38.2,40.4,32.6
"Borneo",22,22.4,18.4
"Bosleeuw",38.9,38.6,41.1
"Bretten Oost",NA,NA,NA
"Bretten West",NA,NA,NA
"Buiksloterbreek",9.1,10.1,6.7
"Buiksloterdijk Oost",6.4,8.3,2.7
"Buiksloterdijk West",9.6,11.8,3.6
"Buiksloterham",29,29.1,28.2
"Buikslotermeer Noord",28.9,33.5,15.7
"Buikslotermeerplein",36.4,40.3,27.7
"Buiteneiland",NA,NA,NA
"Buitenveldert Midden Zuid",25.9,28,14.8
"Buitenveldert Oost Midden",29.1,34,17.9
"Buitenveldert West Midden",15.9,20.2,8.5
"Buitenveldert Zuidoost",23.8,27.5,10.4
"Buitenveldert Zuidwest",21.2,22.8,17.9
"Burgemeester Tellegenbuurt Oost",35.6,36.3,32.8
"Burgemeester Tellegenbuurt West",37.7,38.3,35.7
"Burgwallen Oost",32.3,34.1,18.2
"Buurt 10",27.3,30.6,17.3
"Buurt 2",46.4,48.1,34.9
"Buurt 3",41.7,43.5,31.5
"Buurt 4 Oost",37,38.6,29.5
"Buurt 5 Noord",51.6,52.9,43.6
"Buurt 5 Zuid",44.8,46.6,34.3
"Buurt 6",46.9,49.6,32.5
"Buurt 7",34.4,36.2,26.5
"Buurt 8",43.4,44.2,37.1
"Buurt 9",43.4,44.8,36
"Buyskade e.o.",27.7,27.8,26.9
"Calandlaan/Lelylaan",37.9,42.3,24.8
"Centrumeiland",23.2,22.9,29.2
"Circus/Kermisbuurt",27.7,29.1,20.4
"Coenhaven/Mercuriushaven",34.6,34.6,NA
"Columbusplein e.o.",37.9,38.3,35
"Concertgebouwbuurt",16.5,18.9,7.1
"Cornelis Douwesterrein",NA,NA,NA
"Cornelis Schuytbuurt",15.5,17.7,6.3
"Cornelis Troostbuurt",28.2,28.2,28.2
"Cremerbuurt Oost",23.3,23.6,20.2
"Cremerbuurt West",25.9,26,25
"Czaar Peterbuurt",33,33.5,29.7
"D-buurt",50.5,50.5,50.5
"Da Costabuurt Noord",26,26.4,23.4
"Da Costabuurt Zuid",28.9,29.1,26.7
"Dapperbuurt Noord",35.7,35.7,35.9
"Dapperbuurt Zuid",36.3,36.4,35.7
"De Aker Oost",25.9,27.1,19.4
"De Aker West",24.1,25.5,18
"De Bongerd",24.4,24.4,24
"De Eenhoorn",35.8,36.1,27.4
"De Heining",28.2,31.3,NA
"De Kleine Wereld",45.9,51.5,30
"De Klenckebuurt",18.3,22.6,8.6
"De Omval",16.5,19,7.2
"De Punt",38.2,39.9,30
"De Wester Quartier",37.5,37.5,37.7
"De Wetbuurt",25.5,26.5,22.6
"De Wittenbuurt Noord",30.4,30.9,27.6
"De Wittenbuurt Zuid",32.9,35.8,25.3
"Delflandpleinbuurt Oost",39.9,40.6,31.7
"Delflandpleinbuurt West",40.5,41,35.2
"Den Texbuurt",20.9,22.7,13.4
"Diamantbuurt",38,38.8,34.9
"Diepenbrockbuurt",11.2,13.5,4.1
"Don Bosco",24.2,24.7,22
"Dorp Driemond",21.3,23.2,15
"Dorp Sloten",17.1,19.5,9.8
"Drieburg",NA,NA,NA
"Driehoekbuurt",28.4,30,20.9
"Duivelseiland",24.6,24.9,21.4
"Durgerdam",11,12.5,6.2
"E-buurt",38.5,38.4,40.9
"Ecowijk",24.8,25.7,20.1
"Eendrachtspark",32.3,34.5,11
"Elandsgrachtbuurt",26.8,28.4,20.9
"Elzenhagen Noord",25.9,26.5,20.1
"Elzenhagen Zuid",49.8,50.6,35.8
"Emanuel van Meterenbuurt",33.1,36.2,20.7
"Entrepot-Noordwest",33.2,34.9,25.7
"Erasmusparkbuurt Oost",29.8,29.8,29.5
"Erasmusparkbuurt West",27.4,27,31.5
"F-buurt",42,42.4,38
"Fannius Scholtenbuurt",32.2,32.2,32.7
"Felix Meritisbuurt",21.1,23.6,9.2
"Filips van Almondekwartier",29.3,29,31.8
"Flevopark",16.4,15.2,NA
"Frankendael",15.3,16.4,NA
"Frans Halsbuurt",27.1,27.9,20.4
"Frederik Hendrikbuurt Noord",28.9,29.4,25.8
"Frederik Hendrikbuurt Zuidoost",31,31.3,28.1
"Frederik Hendrikbuurt Zuidwest",25.7,27.1,21.4
"Frederikspleinbuurt",19.8,22.4,8.7
"G-buurt Noord",56.5,56.9,53.3
"G-buurt Oost",24.7,29.1,17
"G-buurt West",40.9,41.4,38.2
"Gaasperdam Noord",40.1,42,29.6
"Gaasperdam Zuid",38.9,40.5,33.5
"Gaasperpark",27.9,27.3,NA
"Gaasperplas",15,16.8,NA
"Gein Noordoost",17.3,20.7,9.1
"Gein Noordwest",43.3,44.1,39.6
"Gein Zuidoost",34.6,37.5,26.7
"Gein Zuidwest",45.3,45.8,42.2
"Gelderlandpleinbuurt",25.4,29.1,15.3
"Gerard Doubuurt",32.1,32.5,29.2
"Geuzenhofbuurt",24.2,24.7,18.2
"Gibraltarbuurt",37.9,38.2,35.6
"Gooise Kant",32.3,32.2,NA
"Gouden Bocht",21.7,25.5,4.9
"Groenmarktkadebuurt",26.6,27.5,18.2
"Grunder/Koningshoef",39.6,39.5,40.1
"Haarlemmerbuurt Oost",25.5,27.3,18.5
"Haarlemmerbuurt West",28.7,30.4,21.6
"Hakfort/Huigenbos",52.8,53.3,48.9
"Harmoniehofbuurt",16.9,26.2,9.1
"Haveneiland Noord",37.5,38.2,31.9
"Haveneiland Noordoost",29.1,29.1,29.6
"Haveneiland Noordwest",29.6,30.5,22.4
"Haveneiland Oost",25.8,25.6,28.5
"Haveneiland Zuidwest/Rieteiland West",15.5,15.9,10.9
"Helmersbuurt Oost",21.5,22.6,13.5
"Hemelrijk",29.7,30.9,14.7
"Hemonybuurt",25.4,26.3,17.2
"Hercules Seghersbuurt",33.2,33.7,30
"Het Funen",21.8,22.5,17.3
"Hiltonbuurt",10.9,12.3,4.5
"Hoge Dijk",34.4,37.1,NA
"Holendrecht Oost",26.3,32.8,15
"Holendrecht West",53.8,56.8,46.2
"Holysloot",10,11.6,5.8
"Hondecoeterbuurt",18.3,20.7,10.1
"Hoofdcentrum Zuidoost",32.2,32.2,NA
"Hoptille",47.6,47.7,46.9
"Houthavens Oost",19.5,22.9,9.3
"Houthavens West",15.5,16.1,10.7
"Huntum",14.2,18.5,6.9
"IJplein e.o.",38.5,40.1,32.4
"IJsbaanpad e.o.",13.5,14.9,8.2
"IJselbuurt Oost",30.7,31.2,27.9
"IJselbuurt West",31.9,32.6,28.5
"Jacob Geelbuurt",49.4,50.7,40.3
"Jacques Veltmanbuurt",36.8,38.1,28.8
"Jan Maijenbuurt",39.7,39.3,42.4
"Java-eiland",19.7,21.3,13.3
"Johan Jongkindbuurt",53.5,53.7,51.3
"Johannnes Vermeerbuurt",17,19.8,6.7
"John Franklinbuurt",36.2,35.9,38.6
"Julianapark",20.5,20.9,17.9
"K-buurt Midden",50.8,51.6,43.9
"K-buurt Zuidoost",37,37,37.2
"K-buurt Zuidwest",38.8,38.6,40.6
"KNSM-eiland",21.2,23.5,14.1
"Kadijken",24.3,26.8,17.3
"Kadoelen",17.9,19.3,11.8
"Kalverdriehoek",29.5,30.2,18.2
"Kantershof",34.2,33.6,35.9
"Kattenburg",33.2,35,28.3
"Kazernebuurt",28.9,31.7,21.7
"Kelbergen",43.7,47.5,29.7
"Kolenkitbuurt Noord",44.9,44.5,48.5
"Kolenkitbuurt Zuid",37.9,37.5,40.2
"Koningin Wilhelminaplein",23.8,24.7,12.1
"Kop Zeedijk",29.9,30.8,20.1
"Kop Zuidas",18.8,19.6,9.2
"Kortenaerkwartier",30.6,30.8,29.3
"Kortvoort",48.2,49.7,43.4
"Kromme Mijdrechtbuurt",32.2,33.3,26.6
"L-buurt",28.2,31.3,18.8
"Laan van Spartaan",34.8,34.6,38.5
"Landelijk gebied Driemond",9.7,10.1,7.4
"Landlust Noord",37.8,37.6,39
"Landlust Zuid",31.8,31.3,35.8
"Langestraat e.o.",18.3,21.8,7.2
"Lastage",24,25.3,17.8
"Legmeerpleinbuurt",24.6,25.1,21.7
"Leidsebuurt Noordoost",29.2,30.4,12.3
"Leidsebuurt Noordwest",25.9,26.7,11.6
"Leidsebuurt Zuidoost",24.7,27.3,12.7
"Leidsebuurt Zuidwest",33.3,35,20.1
"Leidsegracht Noord",22.1,25.5,6.5
"Leidsegracht Zuid",20.5,23.4,5.6
"Leliegracht e.o.",22.2,25.2,6.5
"Linnaeusparkbuurt",19.3,20.6,13.6
"Lizzy Ansinghbuurt",31.6,31.7,31.3
"Loenermark",32.5,34.4,25.5
"Lootsbuurt",33.6,33.4,34.9
"Louis Chrispijnbuurt",40,44.4,26.8
"Lucas/Andreasziekenhuis e.o.",31.3,31.4,NA
"Marathonbuurt Oost",33.7,36,26.3
"Marathonbuurt West",39.4,40.9,33.9
"Marcanti",29.9,28.4,35.9
"Marine-Etablissement",16.8,19.3,10.4
"Marjoleinterrein",27.2,28.3,14.8
"Markengouw Midden",42.7,44.1,30.2
"Markengouw Zuid",40.5,42.3,25.7
"Markthallen",29.1,28.3,NA
"Marnixbuurt Midden",24.4,24.4,24.1
"Marnixbuurt Noord",31.4,32.6,26.5
"Marnixbuurt Zuid",28.1,34.6,10.7
"Medisch Centrum Slotervaart",47.9,48.1,NA
"Meer en Oever",28.9,31.5,19.8
"Mercatorpark",NA,NA,NA
"Middelveldsche Akerpolder",33.8,37.6,21.6
"Middeneiland Zuidoost",NA,NA,NA
"Middeneiland Zuidwest",NA,NA,NA
"Middenmeer Noord",19.6,20.2,17.4
"Middenmeer Zuid",20.6,21.7,14.9
"Minervabuurt Midden",14.9,17.7,5.8
"Minervabuurt Noord",13.6,15.8,6.4
"Minervabuurt Zuid",16.1,18.7,7.9
"Molenwijk",41.6,46.4,26.3
"Museumplein",NA,NA,NA
"NDSM terrein",33,33.2,11.1
"Nelson Mandelapark",NA,NA,NA
"Nes e.o.",27.9,29.5,11.5
"Nieuw Sloten Noordoost",25,28.2,16.7
"Nieuw Sloten Noordwest",27.1,28.7,21.4
"Nieuw Sloten Zuidoost",27.9,29.8,17.2
"Nieuw Sloten Zuidwest",14,15.4,7.4
"Nieuwe Diep/Diemerpark",19,20.8,12.5
"Nieuwe Kerk e.o.",29.7,30.7,15.1
"Nieuwe Meer",33.2,33.6,30.2
"Nieuwe Oosterbegraafplaats",NA,NA,NA
"Nieuwendammerdijk Oost",8.6,9.5,4.4
"Nieuwendammerdijk West",9.3,10.5,5.1
"Nieuwendammerdijk Zuid",NA,NA,NA
"Nieuwendijk Noord",32.5,33.1,21.3
"Nieuwmarkt",29.3,31.9,23.5
"Nintemanterrein",8.4,10.7,4
"Noorder IJplas",13.4,16.4,8.7
"Noorderstrook Oost",NA,NA,NA
"Noorderstrook West",36.4,38.9,NA
"Noordoever Sloterplas",30.5,31.8,23.1
"Noordoostkwadrant Indische buurt",40.8,40.8,40.7
"Noordwestkwadrant Indische buurt Noord",33.1,32.7,37.4
"Noordwestkwadrant Indische buurt Zuid",35.8,34.7,44.3
"Olympisch Stadion e.o.",24.7,25.6,20.8
"Ookmeer",NA,NA,NA
"Oostelijke Handelskade",25,25.3,21.8
"Oostenburg",30.2,30.5,28
"Oosterdokseiland",24.9,26.9,11.1
"Oosterpark",38.3,39.3,29.4
"Oosterparkbuurt Noordwest",33.9,33.9,34
"Oosterparkbuurt Zuidoost",29.1,29.3,27.9
"Oosterparkbuurt Zuidwest",38.5,38.5,38.5
"Oostoever Sloterplas",20.9,21.4,19.6
"Oostpoort",25.8,26.8,22.2
"Oostzanerdijk",17.1,17.7,14.6
"Orteliusbuurt Midden",31,30.8,32.4
"Orteliusbuurt Noord",34.5,34.5,34.5
"Orteliusbuurt Zuid",30.2,30.3,29.7
"Osdorp Midden Noord",49.6,53,35.8
"Osdorp Midden Zuid",45.8,47.8,35
"Osdorp Zuidoost",33.2,37,22.5
"Osdorper Binnenpolder",13.4,16,NA
"Osdorper Bovenpolder",21.6,25.1,12.3
"Osdorpplein e.o.",40.4,42.1,29.8
"Oude Kerk e.o.",33.2,34.2,25.1
"Overamstel",7.7,8,NA
"Overbraker Binnenpolder",NA,NA,NA
"Overhoeks",22.6,24.5,8.1
"Overtoomse Veld Noord",43.5,42.7,49.4
"Overtoomse Veld Zuid",38.3,38.3,38.3
"P.C. Hooftbuurt",18.9,21.4,9.1
"Papaverweg e.o.",17.5,18.2,8.1
"Paramariboplein e.o.",26.4,26.4,26.6
"Park Haagseweg",11.2,13.4,5.1
"Park de Meer",20.3,22.4,13.9
"Parooldriehoek",40.9,40.7,NA
"Passeerdersgrachtbuurt",24.5,27.3,14.5
"Petroleumhaven",NA,NA,NA
"Pieter van der Doesbuurt",34.2,34.6,30.9
"Plan van Gool",40.2,43.7,23.3
"Planciusbuurt Noord",31.9,33.5,20.3
"Planciusbuurt Zuid",37.4,38.7,31.7
"Postjeskade e.o.",27.6,28,25.2
"Prinses Irenebuurt",13.1,16.5,5.1
"RAI",NA,NA,NA
"RI Oost terrein",28.6,29.3,18.7
"Ransdorp",9.3,11.3,5.3
"Rapenburg",28,28.7,23.3
"Rechte H-buurt",48,48.7,43.7
"Reguliersbuurt",32.7,33,NA
"Reigersbos Midden",37.7,40.7,28.4
"Reigersbos Noord",48.1,49.7,40.5
"Reigersbos Zuid",30.6,34.6,20.2
"Rembrandtpark Noord",31.2,32.7,12.6
"Rembrandtpark Zuid",21.8,22.7,14.1
"Rembrandtpleinbuurt",29.4,30.5,13.4
"Riekerhaven",50.6,50.6,NA
"Riekerpolder",27.5,27.6,NA
"Rieteiland Oost",6.2,6.3,NA
"Rietlanden",24.6,25.4,20.2
"Rijnbuurt Midden",26.6,27.1,24.1
"Rijnbuurt Oost",27,27.6,23.6
"Rijnbuurt West",40.5,44,30.5
"Robert Scottbuurt Oost",33.3,32.8,37.7
"Robert Scottbuurt West",40.4,40.8,37.7
"Rode Kruisbuurt",10.1,13.7,4.7
"Sarphatiparkbuurt",29.2,29.5,27.1
"Sarphatistrook",26.5,27.7,18.5
"Scheepvaarthuisbuurt",22.8,25.1,10.8
"Scheldebuurt Midden",21.1,21.6,18.5
"Scheldebuurt Oost",23.6,24.9,16
"Scheldebuurt West",24.2,25.2,19.9
"Schellingwoude Noord",NA,NA,NA
"Schellingwoude Oost",11,11.8,8.8
"Schellingwoude West",9.1,10.4,5.5
"Schinkelbuurt Noord",27,27.6,22.3
"Schinkelbuurt Zuid",33.6,34.9,27.7
"Schipluidenbuurt",33.4,33.6,17.8
"Science Park Noord",31.2,31.9,5.4
"Science Park Zuid",49.7,50.5,NA
"Sloterdijk II",38.6,38.6,NA
"Sloterdijk III Oost",NA,NA,NA
"Sloterdijk III West",46.5,47.3,NA
"Slotermeer Zuid",47.7,50.3,34.4
"Sloterpark",30.8,30.8,NA
"Sloterweg e.o.",16,19.4,5.9
"Spaarndammerbuurt Midden",34.1,34,35
"Spaarndammerbuurt Noordoost",36.8,37.8,32
"Spaarndammerbuurt Noordwest",35.8,35.8,36.1
"Spaarndammerbuurt Zuidoost",31.5,32.2,28.3
"Spaarndammerbuurt Zuidwest",31.7,31,35.2
"Spiegelbuurt",20.2,22.2,8.6
"Sporenburg",18.3,18.7,14.3
"Sportpark Middenmeer Noord",55.6,55.7,NA
"Sportpark Middenmeer Zuid",14.1,15.3,13.1
"Sportpark Voorland",NA,NA,NA
"Spuistraat Noord",28.7,30.5,10.2
"Spuistraat Zuid",29.3,30.4,20.9
"Staalmanbuurt",43.6,44.8,35.6
"Staatsliedenbuurt Noordoost",34.9,36,32.4
"Stationsplein e.o.",NA,NA,NA
"Steigereiland Noord",28,28.1,26.4
"Steigereiland Zuid",23.4,23.3,24.4
"Strandeiland",NA,NA,NA
"Surinamepleinbuurt",22.9,24.2,15.4
"Swammerdambuurt",22.9,23.6,16.6
"Teleport",39.4,39.4,NA
"Terrasdorp",35.6,38,28
"Transvaalbuurt Oost",36.8,36.5,38.5
"Transvaalbuurt West",37.5,36.7,41.5
"Trompbuurt",27.2,27.2,27.1
"Tuindorp Amstelstation",46.3,52.3,32.9
"Tuindorp Frankendael",31.7,34.1,23.4
"Tuindorp Nieuwendam Oost",31.8,34.1,25.6
"Tuindorp Nieuwendam West",30.8,33.6,25.7
"Tuindorp Oostzaan Oost",31.7,33.7,26
"Tuindorp Oostzaan West",30,33.7,23.6
"Twiske Oost",24,25.8,19.6
"Twiske West",20,21.8,12.9
"Uilenburg",25.1,26.9,17.7
"Utrechtsebuurt Zuid",21,23.3,12.3
"VU-kwartier",28,29.4,NA
"Valeriusbuurt Oost",14.4,16.1,7
"Valeriusbuurt West",19.7,21.1,13.4
"Valkenburg",23.7,25.7,18.5
"Van Brakelkwartier",40.2,39.9,41.8
"Van Loonbuurt",19.4,22.1,8.6
"Van Tuyllbuurt",25.2,25.7,21.9
"Van der Helstpleinbuurt",27.9,28.3,24.6
"Van der Kunbuurt",48,49.5,39.9
"Van der Pekbuurt",43.9,44.9,36.9
"Veluwebuurt",28,29.9,21.5
"Venserpolder Oost",43,42.8,44.6
"Venserpolder West",44,44.1,43.5
"Vervoerscentrum",NA,NA,NA
"Vivaldi",35.9,36.4,12.8
"Vliegenbos",13.6,14.4,7.5
"Vogelbuurt Noord",37.3,36.9,39.7
"Vogelbuurt Zuid",40.7,41.3,37.6
"Vogeltjeswei",39.3,38.1,43
"Vondelpark Oost",NA,NA,NA
"Vondelpark West",NA,NA,NA
"Vondelparkbuurt Midden",24.1,25.7,18.1
"Vondelparkbuurt Oost",20.7,23.8,6
"Vondelparkbuurt West",22.8,23.8,17.9
"WG-terrein",26.1,28.1,19.2
"Walvisbuurt",23.3,24.4,18.2
"Waterloopleinbuurt",24.9,27.3,17
"Weesperbuurt",25.5,27.3,18.2
"Weespertrekvaart",22.7,23.3,4.8
"Weesperzijde Midden/Zuid",24,24.5,21.2
"Werengouw Midden",39.1,41.2,29
"Werengouw Zuid",37.1,40.8,20.9
"Westelijke eilanden",24.8,27.1,17.2
"Westerdokseiland",22,23.6,17.4
"Westergasfabriek",NA,NA,NA
"Westerstaatsman",30.9,30.6,35.3
"Westhaven Noord",36.3,41.3,NA
"Westhaven Zuid",NA,NA,NA
"Westlandgrachtbuurt",25.1,25.4,23.3
"Weteringbuurt",22.9,24.7,12.2
"Wielingenbuurt",20.6,22.1,14.1
"Wildeman",48.3,53.3,32.7
"Willemsparkbuurt Noord",18.2,20,9.1
"Willibrordusbuurt",31.4,32.2,27.8
"Wittenburg",30.9,32.5,25.2
"Woon- en Groengebied Sloterdijk",20.3,20.9,11.2
"Zaagpoortbuurt",37,38.1,26.1
"Zamenhofstraat e.o.",NA,NA,NA
"Zeeburgerdijk Oost",23.2,24.1,19.8
"Zeeburgereiland Noordoost",20.2,20.5,NA
"Zeeburgereiland Noordwest",16.1,20.3,NA
"Zeeburgereiland Zuidoost",43.4,43.5,NA
"Zeeburgereiland Zuidwest",38.7,38.9,NA
"Zeeheldenbuurt",31.6,32.2,28.6
"Zorgvlied",15.8,14.3,NA
"Zuidas Noord",20.4,21,10.1
"Zuidas Zuid",23,23.8,8.8
"Zuiderhof",32.5,32.5,NA
"Zuiderkerkbuurt",26.4,28.8,19
"Zuidoostkwadrant Indische buurt",40.8,40.6,42.1
"Zuidwestkwadrant Indische buurt",43.5,42.9,46.1
"Zuidwestkwadrant Osdorp Noord",44.4,45.2,41.1
"Zuidwestkwadrant Osdorp Zuid",38.6,39.5,30.7
"Zunderdorp",12.8,14.6,8.4
"Zwarte Gouw",NA,NA,NA
"de Plantage",18.6,21.7,8.3
